,NDVI,LST,BURNED_AREA,CLASS
1099,0.63663,14276.5,4.528302,no_fire
6,0.508299,14333.375,4.976563,fire
743,0.446279,15151.963746,4.859233,fire
1318,0.646438,14899.384615,4.692308,no_fire
712,0.588011,14811.842105,3.655172,fire
1430,0.576319,14402.818182,5.0,no_fire
820,0.690175,14847.566502,4.98338,no_fire
841,0.623853,14280.428571,4.913043,no_fire
578,0.538957,14527.589189,4.920323,fire
642,0.574426,14476.5,5.0,fire
47,0.563287,14281.918239,4.932079,no_fire
658,0.695635,14419.112676,4.746479,no_fire
527,0.570244,14596.75,4.732394,no_fire
1184,0.580336,14943.040462,4.92161,no_fire
884,0.536318,15015.584071,4.944444,no_fire
175,0.552938,14540.75,4.5,no_fire
80,0.472933,14929.75,4.0,fire
1553,0.652732,14622.575175,4.762799,no_fire
53,0.588702,13699.447368,4.385744,no_fire
1003,0.34462,14411.769231,4.625,no_fire
1014,0.603207,14985.0,5.0,no_fire
262,0.537051,15332.0,5.0,no_fire
940,0.570972,14806.5,4.0,no_fire
654,0.540158,14426.272727,4.017241,fire
1039,0.570595,14718.142857,4.666667,no_fire
619,0.570774,14616.571429,4.958955,no_fire
1441,0.559443,14559.0,3.0,no_fire
823,0.551964,14657.52964,5.044311,fire
187,0.14337,13760.666667,4.888889,no_fire
1699,0.462244,14399.0,4.568627,fire
1336,0.483041,14952.877133,4.559727,no_fire
511,0.687639,14672.0,5.0,no_fire
542,0.511655,14475.68,5.0,no_fire
897,0.43879,15208.230769,4.4,fire
467,0.603396,14807.190476,4.809524,no_fire
34,0.532021,15293.352941,5.0,no_fire
621,0.611015,14095.472477,4.929825,no_fire
76,0.667647,15085.0,5.0,no_fire
1103,0.604311,15014.0,5.0,fire
1502,0.492228,14557.35473,4.933116,no_fire
118,0.472408,14805.777778,4.077079,fire
148,0.60495,14905.508559,4.99521,fire
1698,0.574549,14635.928571,5.608108,no_fire
299,0.627254,14770.361702,4.914894,no_fire
1097,0.689735,14324.055556,5.0,no_fire
220,0.568952,14285.860465,4.901408,no_fire
657,0.456017,14027.5,4.0,no_fire
1023,0.655674,14406.44186,4.837838,fire
124,0.425139,14495.633333,5.0,no_fire
1523,0.662867,14942.976563,4.78125,no_fire
191,0.645072,14845.0,5.0,no_fire
1640,0.551523,15151.273224,4.628415,fire
1223,0.639752,14227.0,4.933962,no_fire
1677,0.66514,14392.398438,4.796875,no_fire
1140,0.467278,14246.764706,4.415987,no_fire
217,0.553826,14553.5,4.5,no_fire
918,0.483041,14952.877133,4.559727,no_fire
988,0.528731,14768.388889,4.814208,no_fire
899,0.610697,15071.669811,4.90566,no_fire
1585,0.562972,14651.0,3.0,no_fire
1063,0.447475,14659.5,5.0,no_fire
1260,0.431734,14142.7,4.433486,no_fire
408,0.491819,13948.584071,4.796814,no_fire
1092,0.555382,14697.333333,5.0,no_fire
1524,0.614596,14902.986436,4.714608,fire
1521,0.508305,14775.583333,4.583333,no_fire
506,0.552721,14405.0,3.0,no_fire
513,0.441084,14288.266667,4.75,no_fire
1116,0.605019,15114.0,5.0,no_fire
254,0.585609,15259.029412,5.0,no_fire
14,0.596891,14336.141509,4.716981,no_fire
322,0.608305,14512.5,4.0,no_fire
1628,0.491568,14448.5,4.592593,fire
1309,0.484331,14693.0,4.914894,no_fire
1081,0.606868,14337.5,5.0,no_fire
759,0.611025,14949.0,5.0,no_fire
1671,0.586074,14947.396226,4.773585,no_fire
666,0.472834,15214.68,5.608696,fire
1271,0.485128,13776.166667,4.4,no_fire
18,0.506682,14724.468254,4.984375,fire
379,0.617781,14934.0,5.0,fire
1240,0.537561,14593.976723,4.876644,fire
342,0.478435,14227.0,5.0,no_fire
748,0.645652,14894.0,5.0,no_fire
554,0.561,13742.15,4.619718,no_fire
581,0.534045,15360.428571,6.695652,fire
310,0.528994,14390.5,5.0,no_fire
1027,0.540004,14742.913043,4.348837,fire
564,0.573024,15059.75,5.0,fire
432,0.456558,13864.566667,5.0,no_fire
966,0.484558,14191.875,4.179299,no_fire
768,0.622966,14855.5,3.0,fire
1356,0.433514,14791.538217,4.756356,no_fire
259,0.575282,14963.0,5.0,no_fire
602,0.553002,15283.322404,4.672131,no_fire
887,0.570582,14590.23176,4.974576,no_fire
459,0.396272,14332.0,4.382927,no_fire
788,0.578616,14681.0,5.0,no_fire
1259,0.669665,13814.125,4.922921,no_fire
974,0.486541,14529.0,4.898858,no_fire
1364,0.460831,15123.290171,4.987298,fire
107,0.582301,14961.777778,4.0,fire
1355,0.538897,15021.0,5.0,no_fire
1555,0.508948,14632.25,3.953488,no_fire
440,0.627471,14745.637931,3.724138,no_fire
572,0.584274,14536.202381,4.54717,no_fire
1625,0.522356,14633.666667,5.0,no_fire
412,0.577438,15144.0,4.0,no_fire
775,0.528226,15375.047619,4.714286,fire
1114,0.376133,14755.727273,4.94746,fire
1606,0.58624,14355.666667,3.0,no_fire
491,0.543778,14765.25,5.0,fire
1437,0.444737,14512.5,4.766667,no_fire
1672,0.480901,14937.705882,5.0,fire
1377,0.437063,14202.4,4.565854,no_fire
982,0.666944,14210.5,5.0,no_fire
233,0.589768,14772.666667,4.4,no_fire
646,0.681533,14933.0,5.0,no_fire
1598,0.498477,14425.333333,5.0,no_fire
1185,0.547262,15176.0,4.0,no_fire
39,0.556863,14808.0,5.0,no_fire
253,0.639072,14913.0,5.0,no_fire
1358,0.593917,15186.855072,4.884058,no_fire
442,0.438145,14369.509091,4.970339,no_fire
347,0.49346,14705.771429,4.915493,no_fire
1055,0.511612,14947.797927,4.87602,no_fire
489,0.573999,14468.0,3.0,fire
1078,0.58768,14845.914894,5.896175,fire
1079,0.533634,14887.5,5.0,no_fire
1188,0.510724,14829.0,6.888889,fire
1540,0.437328,15179.582547,4.761295,fire
948,0.669665,13814.125,4.922921,no_fire
361,0.654292,15108.0,5.0,no_fire
5,0.454228,14929.571429,4.904762,fire
58,0.359946,15359.272727,5.0,no_fire
251,0.525014,14660.0,3.0,no_fire
1017,0.458425,14740.828188,4.945545,fire
963,0.665907,14616.0,5.0,no_fire
1129,0.396272,14332.0,4.382927,no_fire
1676,0.491077,14831.0,5.0,no_fire
161,0.530114,15221.097884,5.178899,no_fire
456,0.65028,14800.125,4.888889,no_fire
532,0.485788,14705.446809,5.0,fire
960,0.548635,14923.295652,5.0,fire
298,0.673325,14567.833333,4.444444,no_fire
638,0.466677,14517.076923,4.235495,fire
182,0.515248,14297.666667,5.0,no_fire
1501,0.700522,14479.0,5.0,no_fire
1414,0.439677,14765.448276,5.0,fire
487,0.630733,14373.971941,4.669462,no_fire
1475,0.53404,14537.593812,4.913873,fire
665,0.611786,14044.333333,5.0,no_fire
1296,0.670221,14909.0,3.0,fire
961,0.623084,14408.910194,4.46789,no_fire
580,0.439825,14363.285714,4.898305,no_fire
19,0.64064,14349.68,4.62029,fire
1279,0.589333,14099.1,4.820755,no_fire
553,0.563992,14480.0,5.0,no_fire
54,0.713023,14932.363636,5.0,no_fire
1490,0.537729,14245.0,3.0,no_fire
390,0.648838,14572.087719,4.913043,no_fire
1532,0.580518,15017.0,5.0,fire
1269,0.137146,13878.2,5.0,no_fire
1101,0.557882,14028.323058,4.967494,no_fire
9,0.57501,15169.190476,4.809524,no_fire
916,0.461745,15119.828746,4.419355,no_fire
1451,0.613768,14605.674419,4.348837,no_fire
1199,0.630035,14497.511905,4.97619,no_fire
113,0.50683,14333.571429,4.785714,fire
1635,0.634164,14302.0,5.0,no_fire
557,0.643733,14652.808511,5.0,no_fire
704,0.620817,14430.5,3.0,no_fire
82,0.578655,13747.130435,4.339623,no_fire
1577,0.472659,15264.767581,4.990924,fire
1121,0.472741,14692.912821,4.948037,fire
1321,0.507238,14346.1,4.900489,no_fire
249,0.473636,15611.570513,4.661202,no_fire
1263,0.502517,14501.563433,5.061778,fire
1530,0.55267,14439.3,5.0,fire
66,0.57065,14793.56,5.0,no_fire
85,0.573026,14721.0,5.0,no_fire
530,0.631131,14356.333333,5.0,no_fire
92,0.629026,13911.0,4.880952,no_fire
303,0.676671,14385.711538,4.756592,no_fire
618,0.506683,15467.875,6.141791,fire
122,0.545559,14113.41989,4.62439,no_fire
1191,0.524486,14692.526316,4.365079,no_fire
1678,0.513121,15266.333333,3.571429,fire
796,0.559443,14559.0,3.0,no_fire
1178,0.619163,14816.0,4.0,no_fire
229,0.497435,14534.0,5.0,no_fire
17,0.502957,15302.0,5.0,no_fire
924,0.115211,13774.5,4.888889,no_fire
483,0.513785,14525.227273,3.637931,no_fire
52,0.638503,15075.075472,4.716981,no_fire
536,0.715045,14961.0,5.0,no_fire
1529,0.634391,14968.578313,4.489458,no_fire
1142,0.550893,15313.0,5.0,fire
632,0.512805,15091.684755,4.931485,no_fire
1212,0.485072,14430.375,4.627907,no_fire
1237,0.443782,14564.235294,4.514634,no_fire
1257,0.658705,14546.0,5.0,no_fire
871,0.549611,15222.814815,4.925926,no_fire
156,0.598009,14193.285714,4.775956,no_fire
1649,0.631009,14564.076923,4.915094,no_fire
159,0.495869,14564.540323,4.8125,no_fire
481,0.465956,14303.4,5.0,no_fire
378,0.452882,14432.54902,4.504878,fire
769,0.583466,14402.228571,4.764706,no_fire
708,0.479998,15225.982456,5.0,no_fire
278,0.534065,15143.074074,5.0,fire
1108,0.596391,14812.5,5.0,no_fire
946,0.509226,14811.0,5.0,fire
326,0.694617,14533.666667,5.0,no_fire
1123,0.550389,15044.785714,4.142857,fire
1315,0.611069,14687.481481,5.0,no_fire
1633,0.527236,15029.0,5.0,no_fire
706,0.636726,14418.644068,4.928571,no_fire
999,0.506221,14497.754902,4.869494,no_fire
1195,0.501196,14518.08,5.0,no_fire
688,0.544291,15154.0,5.0,no_fire
1166,0.622335,14758.0,5.0,no_fire
934,0.546094,14802.75,5.0,no_fire
1597,0.550893,15313.0,5.0,fire
784,0.622723,14553.333333,3.0,no_fire
1440,0.424597,14625.3,5.0,no_fire
962,0.725891,14188.5,3.5,no_fire
652,0.427011,14591.97037,4.681476,fire
1137,0.498477,14425.333333,5.0,no_fire
1230,0.643826,14802.164063,4.78125,no_fire
223,0.509767,14552.5,4.0,no_fire
838,0.607559,14998.068966,3.827586,no_fire
1399,0.689948,14166.5,5.0,no_fire
648,0.63684,14884.689453,4.746235,fire
943,0.687477,14561.0,3.0,no_fire
667,0.513625,14240.733333,4.880952,fire
858,0.555768,15100.226695,5.427966,fire
1341,0.087052,13137.0,3.944444,no_fire
825,0.522567,14776.5,4.428571,fire
141,0.556638,15272.5,5.0,no_fire
979,0.655361,14651.0,5.0,no_fire
1292,0.621308,14552.0,5.0,no_fire
1668,0.602135,14771.5,3.0,fire
1056,0.421562,15119.951378,4.706325,fire
1710,0.613,14751.5,3.0,fire
1349,0.48392,14784.233333,5.0,fire
479,0.546486,14343.0,5.0,no_fire
1281,0.516984,14396.75541,4.948614,no_fire
1088,0.69102,14221.5,3.0,no_fire
240,0.64596,14516.660714,5.309524,fire
4,0.568734,14743.0,5.0,no_fire
204,0.582378,14035.083333,4.444444,no_fire
446,0.65587,14562.0,3.5,no_fire
152,0.480501,14022.210526,4.761905,no_fire
1567,0.596812,14497.0,4.534884,no_fire
473,0.423182,14586.164706,4.476657,no_fire
219,0.512105,14005.0,4.0,no_fire
526,0.513233,14709.0,5.0,no_fire
393,0.598429,14689.0,4.538462,no_fire
1681,0.658292,14477.0,5.0,no_fire
744,0.629497,15187.888889,4.888889,no_fire
1652,0.60182,14358.0,3.0,no_fire
746,0.487941,14517.466667,5.0,no_fire
268,0.580538,14738.0,3.0,no_fire
31,0.43879,15208.230769,4.4,fire
649,0.624277,14047.5,5.0,no_fire
1527,0.60981,14607.892537,4.304348,no_fire
1086,0.60712,14926.0,5.0,no_fire
271,0.604216,14320.5,3.0,no_fire
1648,0.481193,13664.954545,4.470732,no_fire
1511,0.572598,14916.5,5.0,no_fire
1095,0.536712,14726.5,5.0,no_fire
1224,0.41878,14555.271845,4.894342,fire
716,0.58639,14123.0,3.0,no_fire
565,0.441666,15016.633333,5.0,no_fire
381,0.567387,15247.075472,4.811321,fire
904,0.608144,14449.3,4.904762,no_fire
1018,0.534582,13723.666667,4.070013,no_fire
89,0.611728,14915.0,5.0,fire
576,0.436657,14754.170213,4.857923,no_fire
587,0.50297,14742.009346,4.912698,no_fire
1245,0.609419,14643.170424,4.828229,fire
1247,0.64161,14523.330275,4.477064,no_fire
177,0.130482,13814.125,4.3125,no_fire
1305,0.52779,14182.2,4.6,no_fire
1679,0.469593,14603.627451,4.470968,fire
987,0.69312,14369.0,5.0,no_fire
817,0.650259,14521.5,7.0,fire
1561,0.43043,14829.530364,4.458065,fire
1051,0.449085,14678.428571,4.809524,no_fire
878,0.465339,14230.4,5.0,no_fire
937,0.69017,14395.0,4.117188,no_fire
1449,0.477123,14806.666667,5.0,no_fire
1290,0.657438,14587.5,5.0,no_fire
641,0.625647,15333.0,5.0,no_fire
814,0.485886,14291.666667,4.98892,fire
1301,0.546486,14343.0,5.0,no_fire
980,0.490122,15112.184211,5.0,fire
171,0.475246,14044.0,4.5,no_fire
1064,0.253472,13690.529851,4.955224,no_fire
270,0.494559,14739.763636,5.0,fire
227,0.668532,14543.0,5.0,no_fire
558,0.487963,14325.0,3.986949,no_fire
539,0.66514,14392.398438,4.796875,no_fire
1464,0.524378,14653.0,3.0,no_fire
1238,0.511289,14189.657143,4.613557,no_fire
522,0.626756,14812.0,3.0,no_fire
482,0.5931,14916.069565,4.318841,fire
443,0.624863,14628.849462,4.716867,no_fire
794,0.636432,14411.076923,4.478163,fire
192,0.495869,14564.540323,4.8125,no_fire
260,0.61157,14986.214286,4.285714,no_fire
593,0.608492,14729.5,3.0,no_fire
847,0.639806,14679.4,5.0,no_fire
853,0.569022,14886.634409,4.969574,fire
519,0.498599,14544.433333,4.33913,fire
308,0.563287,14281.918239,4.932079,no_fire
438,0.522769,13994.0,5.0,no_fire
789,0.475513,14598.671781,4.558084,fire
538,0.516076,13967.0,5.0,no_fire
1021,0.656426,14395.5,3.0,no_fire
360,0.60611,14689.0,5.0,no_fire
1361,0.52571,14454.838072,4.789261,no_fire
1412,0.565447,14048.330656,4.728916,no_fire
826,0.329875,14964.272727,5.0,no_fire
1177,0.479884,14958.0,5.0,no_fire
1569,0.446205,14479.0,4.478873,no_fire
776,0.644838,14237.727273,4.22973,fire
133,0.569022,14886.634409,4.969574,fire
202,0.515843,15075.113043,4.965217,no_fire
1573,0.552297,14831.331492,4.79235,no_fire
1432,0.510007,14693.925926,4.928571,no_fire
1467,0.619883,14769.5,4.428571,no_fire
1258,0.50405,14589.764706,4.611746,no_fire
685,0.697144,14791.0,5.0,no_fire
317,0.368507,14422.0,4.833333,no_fire
142,0.630026,14395.877193,4.548246,no_fire
1295,0.645005,14932.608696,4.971014,no_fire
913,0.444479,14365.4,4.904762,no_fire
1575,0.552624,14406.666667,3.0,fire
353,0.579506,14616.0,5.0,no_fire
315,0.632962,14306.222222,4.056314,no_fire
1497,0.491819,13948.584071,4.796814,no_fire
170,0.504636,14256.169811,4.084556,no_fire
1291,0.669149,14740.580282,4.367742,no_fire
1025,0.493649,14172.531915,4.526917,no_fire
811,0.598507,14834.025,4.348837,no_fire
1282,0.524506,14891.0,3.0,no_fire
1310,0.497477,14154.587805,4.663415,no_fire
1393,0.556073,14840.333333,3.666667,fire
22,0.44088,14745.964567,4.574194,fire
994,0.46824,14488.866667,4.947262,no_fire
45,0.425514,14507.0,5.0,no_fire
1705,0.579293,14831.531052,4.904876,no_fire
1115,0.478012,14893.970297,4.34633,no_fire
61,0.522106,14369.0,4.888889,fire
879,0.624163,14917.0,5.0,no_fire
1471,0.550225,14209.6875,4.627907,no_fire
319,0.622246,14888.209302,4.395349,no_fire
1050,0.470202,14782.0,5.0,no_fire
1712,0.549497,14269.777778,5.0,fire
1047,0.590097,14968.482456,4.77193,no_fire
425,0.600617,14891.5,5.0,fire
1200,0.516284,14349.0,4.606557,no_fire
670,0.617843,14723.4,4.6,no_fire
465,0.734616,14596.0,5.0,no_fire
1446,0.397542,14830.153846,4.901408,fire
27,0.634834,14690.597101,4.298551,no_fire
501,0.641675,15005.0,5.0,no_fire
1276,0.395032,14148.0,4.0,no_fire
289,0.628137,14394.090909,4.142202,no_fire
1203,0.633343,14154.888889,5.0,no_fire
452,0.480916,14909.0,3.637931,fire
1468,0.499378,14412.651515,5.0,no_fire
679,0.523643,14952.714286,4.817073,fire
210,0.63856,14656.0,5.0,no_fire
942,0.494709,14878.0,5.0,no_fire
1674,0.683897,14844.0,5.0,no_fire
1643,0.552902,14409.921053,5.0,no_fire
723,0.429191,15001.746914,4.643072,fire
1344,0.673325,14567.833333,4.444444,no_fire
783,0.507127,14891.344828,3.758621,no_fire
620,0.470155,15030.0,5.0,no_fire
1618,0.69807,14116.5,5.0,no_fire
2,0.682284,14780.0,5.0,fire
1551,0.468736,14995.133333,4.698113,no_fire
1453,0.665191,14961.0,5.0,no_fire
1398,0.531821,15230.833333,5.0,no_fire
1431,0.598852,14008.641026,4.647059,no_fire
461,0.55408,14761.666667,4.962963,no_fire
689,0.518813,14783.811321,4.886792,no_fire
211,0.319861,14118.333333,3.875,no_fire
1026,0.616107,14387.5,5.0,no_fire
427,0.635206,14414.0,4.690512,fire
1487,0.51038,13810.333333,4.0,no_fire
1275,0.601725,14856.181818,5.0,no_fire
568,0.617811,14806.868852,4.912568,fire
761,0.634132,14421.945946,4.716981,no_fire
434,0.671326,14726.676056,4.971831,no_fire
1190,0.644146,13736.181818,4.955375,no_fire
997,0.657366,14645.75,4.964286,no_fire
840,0.577146,14553.5,4.0,no_fire
96,0.500597,14772.208333,5.0,no_fire
178,0.587878,14564.0,5.0,no_fire
108,0.570747,14504.412863,4.235414,no_fire
965,0.520774,13955.0,5.0,no_fire
1109,0.630937,14534.51443,4.663173,no_fire
1298,0.501975,14791.0,5.0,no_fire
512,0.586448,13891.650602,4.97619,no_fire
1494,0.640565,14594.086957,5.0,no_fire
1,0.52215,14655.833333,5.0,no_fire
914,0.58501,14408.606061,4.674419,no_fire
414,0.174045,13779.169014,4.676056,no_fire
1415,0.640735,15013.076923,4.846154,no_fire
1482,0.465678,14964.315789,4.811634,no_fire
48,0.482204,15368.726415,4.716981,fire
958,0.584666,14391.0,5.0,fire
1236,0.665907,14616.0,5.0,no_fire
745,0.547747,14922.0,5.0,no_fire
711,0.625392,14394.0,3.5,no_fire
1612,0.424588,14379.0,5.0,no_fire
516,0.466677,14517.076923,4.235495,fire
616,0.691341,14957.0,5.0,no_fire
517,0.4275,14882.0,5.0,no_fire
1262,0.567012,14602.0,3.0,no_fire
867,0.619074,14399.0,3.0,no_fire
231,0.699087,13987.011494,4.429363,no_fire
